FID,GEOID,CensusTract,INTPTLAT,INTPTLON,Employed_2015,Employed_2014,Employed_2013,Employed_2012,Employed_2011, WorkCommutePT_2015, WorkCommutePT_2014, WorkCommutePT_2013, WorkCommutePT_2012, WorkCommutePT_2011,TotalWorkersPTPer_2015,TotalWorkersPTPer_2014,TotalWorkersPTPer_2013,TotalWorkersPTPer_2012,TotalWorkersPTPer_2011
31,53033000100,1,47.7225472,-122.2818937,3448,3262,3238,3273,3218,685,685,755,648,660,19.87,21,23.32,19.8,20.51
32,53033000200,2,47.7266401,-122.3099961,4007,4030,3842,4114,4234,699,676,650,656,849,17.44,16.77,16.92,15.95,20.05
33,53033000300,3,47.7305259,-122.3329277,1403,1417,1311,1318,1210,309,262,168,194,162,22.02,18.49,12.81,14.72,13.39
34,53033000401,4.01,47.7301879,-122.3518014,2691,2396,2266,2480,2471,385,370,269,272,232,14.31,15.44,11.87,10.97,9.39
6,53033000402,4.02,47.7168585,-122.3523664,2644,2571,2343,2295,2133,406,400,297,363,349,15.36,15.56,12.68,15.82,16.36
7,53033000500,5,47.7224094,-122.3710555,1537,1529,1460,1437,1516,148,150,135,131,125,9.63,9.81,9.25,9.12,8.25
35,53033000600,6,47.719552,-122.331415,4272,3897,4012,4034,3754,788,579,588,680,608,18.45,14.86,14.66,16.86,16.2
36,53033000700,7,47.7156893,-122.3018632,2768,2498,2632,2687,2750,765,656,640,688,728,27.64,26.26,24.32,25.6,26.47
37,53033000800,8,47.7112492,-122.2860821,1376,1343,1362,1397,1454,228,221,197,216,235,16.57,16.46,14.46,15.46,16.16
30,53033001000,10,47.7064067,-122.2960648,966,890,872,901,824,233,199,181,157,109,24.12,22.36,20.76,17.43,13.23
8,53033001100,11,47.706547,-122.3068073,1497,1589,1576,1520,1508,333,414,348,276,265,22.24,26.05,22.08,18.16,17.57
9,53033001200,12,47.7071214,-122.3228194,3219,3090,3306,3116,3351,835,783,792,688,894,25.94,25.34,23.96,22.08,26.68
10,53033001300,13,47.7022815,-122.3421789,2782,2732,2832,2732,2486,526,542,605,493,391,18.91,19.84,21.36,18.05,15.73
38,53033001400,14,47.7078795,-122.3674088,3301,3040,3039,2940,2692,462,313,364,335,317,14,10.3,11.98,11.39,11.78
11,53033001500,15,47.6946324,-122.3949744,1278,1403,1394,1405,1431,164,125,79,38,49,12.83,8.91,5.67,2.7,3.42
39,53033001600,16,47.7004764,-122.3799022,2184,2182,2031,2035,1976,298,261,270,251,231,13.64,11.96,13.29,12.33,11.69
84,53033001701,17.01,47.6963619,-122.3544843,2626,2655,2774,2510,2528,540,403,433,415,340,20.56,15.18,15.61,16.53,13.45
124,53033001702,17.02,47.6965212,-122.3639488,2540,2573,2361,2289,2106,744,710,465,389,356,29.29,27.59,19.7,16.99,16.9
74,53033001800,18,47.6940453,-122.3419781,3628,3452,3516,3034,3043,822,800,835,551,595,22.66,23.17,23.75,18.16,19.55
75,53033001900,19,47.696535,-122.326216,2547,2535,2429,2273,2118,490,457,444,415,345,19.24,18.03,18.28,18.26,16.29
76,53033002000,20,47.695331,-122.3108025,2171,2063,1992,2016,1884,307,338,360,365,320,14.14,16.38,18.07,18.11,16.99
77,53033002100,21,47.6953673,-122.2980453,2442,2310,2116,2247,2227,372,380,366,438,461,15.23,16.45,17.3,19.49,20.7
40,53033002200,22,47.6929501,-122.2704386,2755,2861,2742,2688,2795,437,435,397,356,324,15.86,15.2,14.48,13.24,11.59
78,53033002400,24,47.6866812,-122.2878258,1696,1638,1641,1543,1612,297,281,303,279,295,17.51,17.16,18.46,18.08,18.3
94,53033002500,25,47.6838969,-122.3022793,1712,1711,1801,1840,1851,319,331,367,390,396,18.63,19.35,20.38,21.2,21.39
79,53033002600,26,47.6822031,-122.3113993,2904,3018,3025,3103,2926,650,654,729,743,685,22.38,21.67,24.1,23.94,23.41
68,53033002700,27,47.6868671,-122.3311548,3609,3440,3250,3136,3187,870,641,626,637,622,24.11,18.63,19.26,20.31,19.52
41,53033002800,28,47.685114,-122.349945,2901,2689,2748,2597,2618,641,600,581,574,634,22.1,22.31,21.14,22.1,24.22
80,53033002900,29,47.6850872,-122.3606466,2608,2464,2474,2492,2439,451,512,547,479,456,17.29,20.78,22.11,19.22,18.7
65,53033003000,30,47.6850958,-122.3740444,3384,3389,3389,3292,3509,600,550,438,459,491,17.73,16.23,12.92,13.94,13.99
44,53033003100,31,47.6877574,-122.3964308,3507,3654,3654,3564,3486,592,557,560,477,434,16.88,15.24,15.33,13.38,12.45
45,53033003200,32,47.6753292,-122.4022854,4989,4886,4661,4767,4399,848,805,858,914,862,17,16.48,18.41,19.17,19.6
46,53033003300,33,47.6759714,-122.3768125,4539,4235,4110,4226,4150,800,770,762,983,888,17.63,18.18,18.54,23.26,21.4
15,53033003400,34,47.6740646,-122.3617463,2061,2204,2026,2154,2186,256,257,198,202,157,12.42,11.66,9.77,9.38,7.18
12,53033003500,35,47.6725466,-122.3520881,2415,2580,2379,2289,2257,451,506,402,380,360,18.67,19.61,16.9,16.6,15.95
47,53033003600,36,47.6771912,-122.3242054,4151,4096,4029,3824,3546,1215,1168,1020,838,713,29.27,28.52,25.32,21.91,20.11
92,53033003800,38,47.6794093,-122.2955292,1099,1139,1211,1190,1074,209,169,179,191,148,19.02,14.84,14.78,16.05,13.78
48,53033003900,39,47.6794117,-122.2823414,1556,1576,1573,1536,1452,118,127,154,131,152,7.58,8.06,9.79,8.53,10.47
13,53033004000,40,47.681718,-122.252368,1564,1548,1424,1408,1422,251,292,387,314,326,16.05,18.86,27.18,22.3,22.93
14,53033004200,42,47.6702043,-122.2841019,4583,4726,4424,4321,4405,648,798,679,679,738,14.14,16.89,15.35,15.71,16.75
88,53033004301,43.01,47.6694017,-122.300222,1860,1830,1754,1865,1762,414,417,422,374,302,22.26,22.79,24.06,20.05,17.14
122,53033004302,43.02,47.6647406,-122.303595,1529,1409,1662,1713,1529,381,272,315,308,250,24.92,19.3,18.95,17.98,16.35
66,53033004400,44,47.670341,-122.3119324,4365,3908,4011,3994,3920,1163,973,833,760,770,26.64,24.9,20.77,19.03,19.64
16,53033004500,45,47.6685824,-122.3229111,1974,1907,1842,1670,1766,575,463,414,339,442,29.13,24.28,22.48,20.3,25.03
52,53033004600,46,47.683092,-122.3378674,2126,2043,2006,2029,1930,341,212,188,178,150,16.04,10.38,9.37,8.77,7.77
17,53033004700,47,47.6660659,-122.3749544,5833,5394,5038,5109,4631,1294,987,915,1161,959,22.18,18.3,18.16,22.72,20.71
18,53033004800,48,47.6608472,-122.3601847,3327,3114,3270,3110,2902,714,681,699,621,599,21.46,21.87,21.38,19.97,20.64
53,53033004900,49,47.6571964,-122.3518455,5308,5169,5042,4778,4525,1734,1608,1605,1162,1166,32.67,31.11,31.83,24.32,25.77
54,53033005000,50,47.6608696,-122.3418076,2536,2476,2419,2399,2455,678,575,491,468,572,26.74,23.22,20.3,19.51,23.3
69,53033005100,51,47.6585183,-122.3322481,2343,2341,2197,2340,2263,386,315,210,200,283,16.47,13.46,9.56,8.55,12.51
70,53033005200,52,47.6595705,-122.3235185,3769,4292,4475,4071,3959,1042,1313,1384,1275,1110,27.65,30.59,30.93,31.32,28.04
55,53033005301,53.01,47.661505,-122.3131216,3027,2672,2775,3193,3204,1058,934,787,877,883,34.95,34.96,28.36,27.47,27.56
56,53033005302,53.02,47.6540399,-122.3012544,1159,1320,1482,1561,1569,225,146,196,205,210,19.41,11.06,13.23,13.13,13.38
96,53033005400,54,47.6486281,-122.3381362,3753,3562,3392,3207,2935,867,825,744,716,618,23.1,23.16,21.93,22.33,21.06
71,53033005600,56,47.6405468,-122.4071053,3004,2925,3006,2918,2977,315,288,269,207,219,10.49,9.85,8.95,7.09,7.36
57,53033005700,57,47.6581015,-122.4137704,3466,3557,3376,3315,3322,528,606,460,477,509,15.23,17.04,13.63,14.39,15.32
49,53033005801,58.01,47.6548926,-122.3850376,3404,3351,3318,3194,3348,618,629,568,531,524,18.16,18.77,17.12,16.62,15.65
59,53033005802,58.02,47.6353633,-122.3802928,3631,3594,3655,3292,3090,612,522,619,524,424,16.85,14.52,16.94,15.92,13.72
60,53033005900,59,47.6492259,-122.3685688,4600,4788,4862,4878,4605,326,434,597,735,832,7.09,9.06,12.28,15.07,18.07
1,53033006000,60,47.6432313,-122.3527936,3871,3744,3406,3368,3311,921,790,592,535,541,23.79,21.1,17.38,15.88,16.34
61,53033006100,61,47.644805,-122.3222796,3805,3979,4123,4029,3789,781,868,1004,1047,893,20.53,21.81,24.35,25.99,23.57
62,53033006200,62,47.6391316,-122.3012264,2181,2143,2152,2225,2240,455,415,415,424,428,20.86,19.37,19.28,19.06,19.11
63,53033006300,63,47.63214,-122.2775439,2382,2501,2572,2609,2601,258,232,204,187,229,10.83,9.28,7.93,7.17,8.8
58,53033006400,64,47.6285398,-122.3048258,1907,1919,1876,1915,1830,275,310,280,276,217,14.42,16.15,14.93,14.41,11.86
42,53033006500,65,47.6309633,-122.3177579,2933,2806,2659,2643,2713,439,450,529,553,615,14.97,16.04,19.89,20.92,22.67
2,53033006600,66,47.6286171,-122.3329766,2833,2599,2345,2213,2411,742,695,645,642,669,26.19,26.74,27.51,29.01,27.75
3,53033006700,67,47.6318633,-122.3442667,5468,4811,4756,4537,4678,1161,1125,1042,1077,1229,21.23,23.38,21.91,23.74,26.27
4,53033006800,68,47.6360306,-122.3564653,1882,1796,1697,1718,1613,277,314,265,310,297,14.72,17.48,15.62,18.04,18.41
5,53033006900,69,47.6343628,-122.3669714,2719,2552,2526,2515,2333,451,402,380,315,327,16.59,15.75,15.04,12.52,14.02
64,53033007000,70,47.6282328,-122.3568062,5278,5045,4789,5119,5284,1489,1210,1233,1514,1495,28.21,23.98,25.75,29.58,28.29
67,53033007100,71,47.6224443,-122.3574017,2926,2566,2164,2075,1928,694,621,516,408,354,23.72,24.2,23.84,19.66,18.36
